Node Name,Output Tensor Name,Output Tensor Size
Conv_75_quant,1116_QuantizeInput,"(1, 256, 28, 28)"
1116_Conv_75_QuantizeLinear,1116_quantized,"(1, 256, 28, 28)"
1116_Conv_77_DequantizeLinear,1116_Conv_77_dequantized,"(1, 256, 28, 28)"
Conv_77_quant,1119_QuantizeInput,"(1, 256, 28, 28)"
1119_Conv_77_QuantizeLinear,1119_quantized,"(1, 256, 28, 28)"
1119_Conv_79_DequantizeLinear,1119_Conv_79_dequantized,"(1, 256, 28, 28)"
Conv_79_quant,1122_QuantizeInput,"(1, 1024, 28, 28)"
1122_Conv_79_QuantizeLinear,1122_quantized,"(1, 1024, 28, 28)"
1122_Conv_79_DequantizeLinear,1122,"(1, 1024, 28, 28)"
Add_80,755,"(1, 1024, 28, 28)"
Relu_81,756,"(1, 1024, 28, 28)"
756_Conv_82_QuantizeLinear,756_Conv_82_QuantizeLinear,"(1, 1024, 28, 28)"
756_Conv_82_DequantizeLinear,756_Conv_82_dequantized,"(1, 1024, 28, 28)"
Conv_82_quant,1125_QuantizeInput,"(1, 256, 28, 28)"
1125_Conv_82_QuantizeLinear,1125_quantized,"(1, 256, 28, 28)"
1125_Conv_84_DequantizeLinear,1125_Conv_84_dequantized,"(1, 256, 28, 28)"
Conv_84_quant,1128_QuantizeInput,"(1, 256, 28, 28)"
1128_Conv_84_QuantizeLinear,1128_quantized,"(1, 256, 28, 28)"
1128_Conv_86_DequantizeLinear,1128_Conv_86_dequantized,"(1, 256, 28, 28)"
Conv_86_quant,1131_QuantizeInput,"(1, 1024, 28, 28)"
1131_Conv_86_QuantizeLinear,1131_quantized,"(1, 1024, 28, 28)"
1131_Conv_86_DequantizeLinear,1131,"(1, 1024, 28, 28)"
Add_87,765,"(1, 1024, 28, 28)"
Relu_88,766,"(1, 1024, 28, 28)"
766_Conv_89_QuantizeLinear,766_Conv_89_QuantizeLinear,"(1, 1024, 28, 28)"
766_Conv_89_DequantizeLinear,766_Conv_89_dequantized,"(1, 1024, 28, 28)"
Conv_89_quant,1134_QuantizeInput,"(1, 256, 28, 28)"
1134_Conv_89_QuantizeLinear,1134_quantized,"(1, 256, 28, 28)"
1134_Conv_91_DequantizeLinear,1134_Conv_91_dequantized,"(1, 256, 28, 28)"
Conv_91_quant,1137_QuantizeInput,"(1, 256, 28, 28)"
1137_Conv_91_QuantizeLinear,1137_quantized,"(1, 256, 28, 28)"
1137_Conv_93_DequantizeLinear,1137_Conv_93_dequantized,"(1, 256, 28, 28)"
Conv_93_quant,1140_QuantizeInput,"(1, 1024, 28, 28)"
1140_Conv_93_QuantizeLinear,1140_quantized,"(1, 1024, 28, 28)"
1140_Conv_93_DequantizeLinear,1140,"(1, 1024, 28, 28)"
Add_94,775,"(1, 1024, 28, 28)"
Relu_95,776,"(1, 1024, 28, 28)"
776_Conv_96_QuantizeLinear,776_Conv_96_QuantizeLinear,"(1, 1024, 28, 28)"
776_Conv_96_DequantizeLinear,776_Conv_96_dequantized,"(1, 1024, 28, 28)"
Conv_96_quant,1143_QuantizeInput,"(1, 256, 28, 28)"
1143_Conv_96_QuantizeLinear,1143_quantized,"(1, 256, 28, 28)"
1143_Conv_98_DequantizeLinear,1143_Conv_98_dequantized,"(1, 256, 28, 28)"
Conv_98_quant,1146_QuantizeInput,"(1, 256, 28, 28)"
1146_Conv_98_QuantizeLinear,1146_quantized,"(1, 256, 28, 28)"
1146_Conv_100_DequantizeLinear,1146_Conv_100_dequantized,"(1, 256, 28, 28)"
Conv_100_quant,1149_QuantizeInput,"(1, 1024, 28, 28)"
1149_Conv_100_QuantizeLinear,1149_quantized,"(1, 1024, 28, 28)"
1149_Conv_100_DequantizeLinear,1149,"(1, 1024, 28, 28)"
Add_101,785,"(1, 1024, 28, 28)"
Relu_102,786,"(1, 1024, 28, 28)"
786_Conv_103_QuantizeLinear,786_Conv_103_QuantizeLinear,"(1, 1024, 28, 28)"
786_Conv_103_DequantizeLinear,786_Conv_103_dequantized,"(1, 1024, 28, 28)"
Conv_103_quant,1152_QuantizeInput,"(1, 256, 28, 28)"
1152_Conv_103_QuantizeLinear,1152_quantized,"(1, 256, 28, 28)"
1152_Conv_105_DequantizeLinear,1152_Conv_105_dequantized,"(1, 256, 28, 28)"
Conv_105_quant,1155_QuantizeInput,"(1, 256, 28, 28)"
1155_Conv_105_QuantizeLinear,1155_quantized,"(1, 256, 28, 28)"
1155_Conv_107_DequantizeLinear,1155_Conv_107_dequantized,"(1, 256, 28, 28)"
Conv_107_quant,1158_QuantizeInput,"(1, 1024, 28, 28)"
1158_Conv_107_QuantizeLinear,1158_quantized,"(1, 1024, 28, 28)"
1158_Conv_107_DequantizeLinear,1158,"(1, 1024, 28, 28)"
Add_108,795,"(1, 1024, 28, 28)"
Relu_109,796,"(1, 1024, 28, 28)"
796_Conv_110_QuantizeLinear,796_Conv_110_QuantizeLinear,"(1, 1024, 28, 28)"
796_Conv_110_DequantizeLinear,796_Conv_110_dequantized,"(1, 1024, 28, 28)"
Conv_110_quant,1161_QuantizeInput,"(1, 256, 28, 28)"
1161_Conv_110_QuantizeLinear,1161_quantized,"(1, 256, 28, 28)"
1161_Conv_112_DequantizeLinear,1161_Conv_112_dequantized,"(1, 256, 28, 28)"
Conv_112_quant,1164_QuantizeInput,"(1, 256, 28, 28)"
1164_Conv_112_QuantizeLinear,1164_quantized,"(1, 256, 28, 28)"
1164_Conv_114_DequantizeLinear,1164_Conv_114_dequantized,"(1, 256, 28, 28)"
Conv_114_quant,1167_QuantizeInput,"(1, 1024, 28, 28)"
1167_Conv_114_QuantizeLinear,1167_quantized,"(1, 1024, 28, 28)"
1167_Conv_114_DequantizeLinear,1167,"(1, 1024, 28, 28)"
Add_115,805,"(1, 1024, 28, 28)"
Relu_116,806,"(1, 1024, 28, 28)"
806_Conv_117_QuantizeLinear,806_Conv_117_QuantizeLinear,"(1, 1024, 28, 28)"
806_Conv_117_DequantizeLinear,806_Conv_117_dequantized,"(1, 1024, 28, 28)"
Conv_117_quant,1170_QuantizeInput,"(1, 256, 28, 28)"
1170_Conv_117_QuantizeLinear,1170_quantized,"(1, 256, 28, 28)"
1170_Conv_119_DequantizeLinear,1170_Conv_119_dequantized,"(1, 256, 28, 28)"
Conv_119_quant,1173_QuantizeInput,"(1, 256, 28, 28)"
1173_Conv_119_QuantizeLinear,1173_quantized,"(1, 256, 28, 28)"
1173_Conv_121_DequantizeLinear,1173_Conv_121_dequantized,"(1, 256, 28, 28)"
Conv_121_quant,1176_QuantizeInput,"(1, 1024, 28, 28)"
1176_Conv_121_QuantizeLinear,1176_quantized,"(1, 1024, 28, 28)"
1176_Conv_121_DequantizeLinear,1176,"(1, 1024, 28, 28)"
Add_122,815,"(1, 1024, 28, 28)"
Relu_123,816,"(1, 1024, 28, 28)"
816_Conv_124_QuantizeLinear,816_Conv_124_QuantizeLinear,"(1, 1024, 28, 28)"
816_Conv_124_DequantizeLinear,816_Conv_124_dequantized,"(1, 1024, 28, 28)"
Conv_124_quant,1179_QuantizeInput,"(1, 256, 28, 28)"
1179_Conv_124_QuantizeLinear,1179_quantized,"(1, 256, 28, 28)"
1179_Conv_126_DequantizeLinear,1179_Conv_126_dequantized,"(1, 256, 28, 28)"
Conv_126_quant,1182_QuantizeInput,"(1, 256, 28, 28)"
1182_Conv_126_QuantizeLinear,1182_quantized,"(1, 256, 28, 28)"
1182_Conv_128_DequantizeLinear,1182_Conv_128_dequantized,"(1, 256, 28, 28)"
Conv_128_quant,1185_QuantizeInput,"(1, 1024, 28, 28)"
1185_Conv_128_QuantizeLinear,1185_quantized,"(1, 1024, 28, 28)"
1185_Conv_128_DequantizeLinear,1185,"(1, 1024, 28, 28)"
Add_129,825,"(1, 1024, 28, 28)"
Relu_130,826,"(1, 1024, 28, 28)"
826_Conv_131_QuantizeLinear,826_Conv_131_QuantizeLinear,"(1, 1024, 28, 28)"
826_Conv_131_DequantizeLinear,826_Conv_131_dequantized,"(1, 1024, 28, 28)"
Conv_131_quant,1188_QuantizeInput,"(1, 256, 28, 28)"
1188_Conv_131_QuantizeLinear,1188_quantized,"(1, 256, 28, 28)"
1188_Conv_133_DequantizeLinear,1188_Conv_133_dequantized,"(1, 256, 28, 28)"
Conv_133_quant,1191_QuantizeInput,"(1, 256, 28, 28)"
1191_Conv_133_QuantizeLinear,1191_quantized,"(1, 256, 28, 28)"
1191_Conv_135_DequantizeLinear,1191_Conv_135_dequantized,"(1, 256, 28, 28)"
Conv_135_quant,1194_QuantizeInput,"(1, 1024, 28, 28)"
1194_Conv_135_QuantizeLinear,1194_quantized,"(1, 1024, 28, 28)"
1194_Conv_135_DequantizeLinear,1194,"(1, 1024, 28, 28)"
Add_136,835,"(1, 1024, 28, 28)"
Relu_137,836,"(1, 1024, 28, 28)"
836_Conv_138_QuantizeLinear,836_Conv_138_QuantizeLinear,"(1, 1024, 28, 28)"
836_Conv_138_DequantizeLinear,836_Conv_138_dequantized,"(1, 1024, 28, 28)"
Conv_138_quant,1197_QuantizeInput,"(1, 256, 28, 28)"
1197_Conv_138_QuantizeLinear,1197_quantized,"(1, 256, 28, 28)"
1197_Conv_140_DequantizeLinear,1197_Conv_140_dequantized,"(1, 256, 28, 28)"
Conv_140_quant,1200_QuantizeInput,"(1, 256, 28, 28)"
1200_Conv_140_QuantizeLinear,1200_quantized,"(1, 256, 28, 28)"
1200_Conv_142_DequantizeLinear,1200_Conv_142_dequantized,"(1, 256, 28, 28)"
Conv_142_quant,1203_QuantizeInput,"(1, 1024, 28, 28)"
1203_Conv_142_QuantizeLinear,1203_quantized,"(1, 1024, 28, 28)"
1203_Conv_142_DequantizeLinear,1203,"(1, 1024, 28, 28)"
Add_143,845,"(1, 1024, 28, 28)"
Relu_144,846,"(1, 1024, 28, 28)"
846_Conv_145_QuantizeLinear,846_Conv_145_QuantizeLinear,"(1, 1024, 28, 28)"
846_Conv_145_DequantizeLinear,846_Conv_145_dequantized,"(1, 1024, 28, 28)"
Conv_145_quant,1206_QuantizeInput,"(1, 256, 28, 28)"
1206_Conv_145_QuantizeLinear,1206_quantized,"(1, 256, 28, 28)"
1206_Conv_147_DequantizeLinear,1206_Conv_147_dequantized,"(1, 256, 28, 28)"
Conv_147_quant,1209_QuantizeInput,"(1, 256, 28, 28)"
1209_Conv_147_QuantizeLinear,1209_quantized,"(1, 256, 28, 28)"
1209_Conv_149_DequantizeLinear,1209_Conv_149_dequantized,"(1, 256, 28, 28)"
Conv_149_quant,1212_QuantizeInput,"(1, 1024, 28, 28)"
1212_Conv_149_QuantizeLinear,1212_quantized,"(1, 1024, 28, 28)"
1212_Conv_149_DequantizeLinear,1212,"(1, 1024, 28, 28)"
Add_150,855,"(1, 1024, 28, 28)"
Relu_151,856,"(1, 1024, 28, 28)"
856_Conv_152_QuantizeLinear,856_Conv_152_QuantizeLinear,"(1, 1024, 28, 28)"
856_Conv_152_DequantizeLinear,856_Conv_152_dequantized,"(1, 1024, 28, 28)"
Conv_152_quant,1215_QuantizeInput,"(1, 256, 28, 28)"
1215_Conv_152_QuantizeLinear,1215_quantized,"(1, 256, 28, 28)"
1215_Conv_154_DequantizeLinear,1215_Conv_154_dequantized,"(1, 256, 28, 28)"
Conv_154_quant,1218_QuantizeInput,"(1, 256, 28, 28)"
1218_Conv_154_QuantizeLinear,1218_quantized,"(1, 256, 28, 28)"
1218_Conv_156_DequantizeLinear,1218_Conv_156_dequantized,"(1, 256, 28, 28)"
Conv_156_quant,1221_QuantizeInput,"(1, 1024, 28, 28)"
1221_Conv_156_QuantizeLinear,1221_quantized,"(1, 1024, 28, 28)"
1221_Conv_156_DequantizeLinear,1221,"(1, 1024, 28, 28)"
Add_157,865,"(1, 1024, 28, 28)"
Relu_158,866,"(1, 1024, 28, 28)"
866_Conv_159_QuantizeLinear,866_Conv_159_QuantizeLinear,"(1, 1024, 28, 28)"
866_Conv_159_DequantizeLinear,866_Conv_159_dequantized,"(1, 1024, 28, 28)"
Conv_159_quant,1224_QuantizeInput,"(1, 256, 28, 28)"
1224_Conv_159_QuantizeLinear,1224_quantized,"(1, 256, 28, 28)"
1224_Conv_161_DequantizeLinear,1224_Conv_161_dequantized,"(1, 256, 28, 28)"
Conv_161_quant,1227_QuantizeInput,"(1, 256, 28, 28)"
1227_Conv_161_QuantizeLinear,1227_quantized,"(1, 256, 28, 28)"
1227_Conv_163_DequantizeLinear,1227_Conv_163_dequantized,"(1, 256, 28, 28)"
Conv_163_quant,1230_QuantizeInput,"(1, 1024, 28, 28)"
1230_Conv_163_QuantizeLinear,1230_quantized,"(1, 1024, 28, 28)"
1230_Conv_163_DequantizeLinear,1230,"(1, 1024, 28, 28)"
Add_164,875,"(1, 1024, 28, 28)"
Relu_165,876,"(1, 1024, 28, 28)"
876_Conv_166_QuantizeLinear,876_Conv_166_QuantizeLinear,"(1, 1024, 28, 28)"
876_Conv_166_DequantizeLinear,876_Conv_166_dequantized,"(1, 1024, 28, 28)"
Conv_166_quant,1233_QuantizeInput,"(1, 256, 28, 28)"
1233_Conv_166_QuantizeLinear,1233_quantized,"(1, 256, 28, 28)"
1233_Conv_168_DequantizeLinear,1233_Conv_168_dequantized,"(1, 256, 28, 28)"
Conv_168_quant,1236_QuantizeInput,"(1, 256, 28, 28)"
1236_Conv_168_QuantizeLinear,1236_quantized,"(1, 256, 28, 28)"
1236_Conv_170_DequantizeLinear,1236_Conv_170_dequantized,"(1, 256, 28, 28)"
Conv_170_quant,1239_QuantizeInput,"(1, 1024, 28, 28)"
1239_Conv_170_QuantizeLinear,1239_quantized,"(1, 1024, 28, 28)"
1239_Conv_170_DequantizeLinear,1239,"(1, 1024, 28, 28)"
Add_171,885,"(1, 1024, 28, 28)"
Relu_172,886,"(1, 1024, 28, 28)"
886_Conv_173_QuantizeLinear,886_Conv_173_QuantizeLinear,"(1, 1024, 28, 28)"
886_Conv_173_DequantizeLinear,886_Conv_173_dequantized,"(1, 1024, 28, 28)"
Conv_173_quant,1242_QuantizeInput,"(1, 256, 28, 28)"
1242_Conv_173_QuantizeLinear,1242_quantized,"(1, 256, 28, 28)"
1242_Conv_175_DequantizeLinear,1242_Conv_175_dequantized,"(1, 256, 28, 28)"
Conv_175_quant,1245_QuantizeInput,"(1, 256, 28, 28)"
1245_Conv_175_QuantizeLinear,1245_quantized,"(1, 256, 28, 28)"
1245_Conv_177_DequantizeLinear,1245_Conv_177_dequantized,"(1, 256, 28, 28)"
Conv_177_quant,1248_QuantizeInput,"(1, 1024, 28, 28)"
1248_Conv_177_QuantizeLinear,1248_quantized,"(1, 1024, 28, 28)"
1248_Conv_177_DequantizeLinear,1248,"(1, 1024, 28, 28)"
Add_178,895,"(1, 1024, 28, 28)"
Relu_179,896,"(1, 1024, 28, 28)"
896_Conv_180_QuantizeLinear,896_Conv_180_QuantizeLinear,"(1, 1024, 28, 28)"
896_Conv_180_DequantizeLinear,896_Conv_180_dequantized,"(1, 1024, 28, 28)"
Conv_180_quant,1251_QuantizeInput,"(1, 256, 28, 28)"
1251_Conv_180_QuantizeLinear,1251_quantized,"(1, 256, 28, 28)"
1251_Conv_182_DequantizeLinear,1251_Conv_182_dequantized,"(1, 256, 28, 28)"
Conv_182_quant,1254_QuantizeInput,"(1, 256, 28, 28)"
1254_Conv_182_QuantizeLinear,1254_quantized,"(1, 256, 28, 28)"
1254_Conv_184_DequantizeLinear,1254_Conv_184_dequantized,"(1, 256, 28, 28)"
Conv_184_quant,1257_QuantizeInput,"(1, 1024, 28, 28)"
1257_Conv_184_QuantizeLinear,1257_quantized,"(1, 1024, 28, 28)"
1257_Conv_184_DequantizeLinear,1257,"(1, 1024, 28, 28)"
Add_185,905,"(1, 1024, 28, 28)"
Relu_186,906,"(1, 1024, 28, 28)"
906_Conv_187_QuantizeLinear,906_Conv_187_QuantizeLinear,"(1, 1024, 28, 28)"
906_Conv_187_DequantizeLinear,906_Conv_187_dequantized,"(1, 1024, 28, 28)"
Conv_187_quant,1260_QuantizeInput,"(1, 256, 28, 28)"
1260_Conv_187_QuantizeLinear,1260_quantized,"(1, 256, 28, 28)"
1260_Conv_189_DequantizeLinear,1260_Conv_189_dequantized,"(1, 256, 28, 28)"
Conv_189_quant,1263_QuantizeInput,"(1, 256, 28, 28)"
1263_Conv_189_QuantizeLinear,1263_quantized,"(1, 256, 28, 28)"
1263_Conv_191_DequantizeLinear,1263_Conv_191_dequantized,"(1, 256, 28, 28)"
Conv_191_quant,1266_QuantizeInput,"(1, 1024, 28, 28)"
1266_Conv_191_QuantizeLinear,1266_quantized,"(1, 1024, 28, 28)"
1266_Conv_191_DequantizeLinear,1266,"(1, 1024, 28, 28)"
Add_192,915,"(1, 1024, 28, 28)"
Relu_193,916,"(1, 1024, 28, 28)"
916_Conv_194_QuantizeLinear,916_Conv_194_QuantizeLinear,"(1, 1024, 28, 28)"
916_Conv_194_DequantizeLinear,916_Conv_194_dequantized,"(1, 1024, 28, 28)"
Conv_194_quant,1269_QuantizeInput,"(1, 256, 28, 28)"
1269_Conv_194_QuantizeLinear,1269_quantized,"(1, 256, 28, 28)"
1269_Conv_196_DequantizeLinear,1269_Conv_196_dequantized,"(1, 256, 28, 28)"
Conv_196_quant,1272_QuantizeInput,"(1, 256, 28, 28)"
1272_Conv_196_QuantizeLinear,1272_quantized,"(1, 256, 28, 28)"
1272_Conv_198_DequantizeLinear,1272_Conv_198_dequantized,"(1, 256, 28, 28)"
Conv_198_quant,1275_QuantizeInput,"(1, 1024, 28, 28)"
1275_Conv_198_QuantizeLinear,1275_quantized,"(1, 1024, 28, 28)"
1275_Conv_198_DequantizeLinear,1275,"(1, 1024, 28, 28)"
Add_199,925,"(1, 1024, 28, 28)"
Relu_200,926,"(1, 1024, 28, 28)"
926_Conv_201_QuantizeLinear,926_Conv_201_QuantizeLinear,"(1, 1024, 28, 28)"
926_Conv_201_DequantizeLinear,926_Conv_201_dequantized,"(1, 1024, 28, 28)"
Conv_201_quant,1278_QuantizeInput,"(1, 256, 28, 28)"
1278_Conv_201_QuantizeLinear,1278_quantized,"(1, 256, 28, 28)"
1278_Conv_203_DequantizeLinear,1278_Conv_203_dequantized,"(1, 256, 28, 28)"
Conv_203_quant,1281_QuantizeInput,"(1, 256, 28, 28)"
1281_Conv_203_QuantizeLinear,1281_quantized,"(1, 256, 28, 28)"
1281_Conv_205_DequantizeLinear,1281_Conv_205_dequantized,"(1, 256, 28, 28)"
Conv_205_quant,1284_QuantizeInput,"(1, 1024, 28, 28)"
1284_Conv_205_QuantizeLinear,1284_quantized,"(1, 1024, 28, 28)"
1284_Conv_205_DequantizeLinear,1284,"(1, 1024, 28, 28)"
Add_206,935,"(1, 1024, 28, 28)"
Relu_207,936,"(1, 1024, 28, 28)"
936_Conv_208_QuantizeLinear,936_Conv_208_QuantizeLinear,"(1, 1024, 28, 28)"
936_Conv_208_DequantizeLinear,936_Conv_208_dequantized,"(1, 1024, 28, 28)"
Conv_208_quant,1287_QuantizeInput,"(1, 256, 28, 28)"
1287_Conv_208_QuantizeLinear,1287_quantized,"(1, 256, 28, 28)"
1287_Conv_210_DequantizeLinear,1287_Conv_210_dequantized,"(1, 256, 28, 28)"
Conv_210_quant,1290_QuantizeInput,"(1, 256, 28, 28)"
1290_Conv_210_QuantizeLinear,1290_quantized,"(1, 256, 28, 28)"
1290_Conv_212_DequantizeLinear,1290_Conv_212_dequantized,"(1, 256, 28, 28)"
Conv_212_quant,1293_QuantizeInput,"(1, 1024, 28, 28)"
1293_Conv_212_QuantizeLinear,1293_quantized,"(1, 1024, 28, 28)"
1293_Conv_212_DequantizeLinear,1293,"(1, 1024, 28, 28)"
Add_213,945,"(1, 1024, 28, 28)"
Relu_214,946,"(1, 1024, 28, 28)"
946_Conv_215_QuantizeLinear,946_Conv_215_QuantizeLinear,"(1, 1024, 28, 28)"
946_Conv_215_DequantizeLinear,946_Conv_215_dequantized,"(1, 1024, 28, 28)"
Conv_215_quant,1296_QuantizeInput,"(1, 256, 28, 28)"
1296_Conv_215_QuantizeLinear,1296_quantized,"(1, 256, 28, 28)"
1296_Conv_217_DequantizeLinear,1296_Conv_217_dequantized,"(1, 256, 28, 28)"
Conv_217_quant,1299_QuantizeInput,"(1, 256, 28, 28)"
1299_Conv_217_QuantizeLinear,1299_quantized,"(1, 256, 28, 28)"
1299_Conv_219_DequantizeLinear,1299_Conv_219_dequantized,"(1, 256, 28, 28)"
Conv_219_quant,1302_QuantizeInput,"(1, 1024, 28, 28)"
1302_Conv_219_QuantizeLinear,1302_quantized,"(1, 1024, 28, 28)"
1302_Conv_219_DequantizeLinear,1302,"(1, 1024, 28, 28)"
Add_220,955,"(1, 1024, 28, 28)"
Relu_221,956,"(1, 1024, 28, 28)"
956_Conv_227_QuantizeLinear,956_Conv_227_QuantizeLinear,"(1, 1024, 28, 28)"
956_Conv_227_DequantizeLinear,956_Conv_227_dequantized,"(1, 1024, 28, 28)"
Conv_227_quant,1314_QuantizeInput,"(1, 2048, 28, 28)"
Conv_222_quant,1305_QuantizeInput,"(1, 512, 28, 28)"
1314_Conv_227_QuantizeLinear,1314_quantized,"(1, 2048, 28, 28)"
1305_Conv_222_QuantizeLinear,1305_quantized,"(1, 512, 28, 28)"
1314_Conv_227_DequantizeLinear,1314,"(1, 2048, 28, 28)"
1305_Conv_224_DequantizeLinear,1305_Conv_224_dequantized,"(1, 512, 28, 28)"
Conv_224_quant,1308_QuantizeInput,"(1, 512, 28, 28)"
1308_Conv_224_QuantizeLinear,1308_quantized,"(1, 512, 28, 28)"
1308_Conv_226_DequantizeLinear,1308_Conv_226_dequantized,"(1, 512, 28, 28)"
Conv_226_quant,1311_QuantizeInput,"(1, 2048, 28, 28)"
1311_Conv_226_QuantizeLinear,1311_quantized,"(1, 2048, 28, 28)"
1311_Conv_226_DequantizeLinear,1311,"(1, 2048, 28, 28)"
Add_228,967,"(1, 2048, 28, 28)"
Relu_229,968,"(1, 2048, 28, 28)"
968_Conv_230_QuantizeLinear,968_Conv_230_QuantizeLinear,"(1, 2048, 28, 28)"
968_Conv_230_DequantizeLinear,968_Conv_230_dequantized,"(1, 2048, 28, 28)"
Conv_230_quant,1317_QuantizeInput,"(1, 512, 28, 28)"
1317_Conv_230_QuantizeLinear,1317_quantized,"(1, 512, 28, 28)"
1317_Conv_232_DequantizeLinear,1317_Conv_232_dequantized,"(1, 512, 28, 28)"
Conv_232_quant,1320_QuantizeInput,"(1, 512, 28, 28)"
1320_Conv_232_QuantizeLinear,1320_quantized,"(1, 512, 28, 28)"
1320_Conv_234_DequantizeLinear,1320_Conv_234_dequantized,"(1, 512, 28, 28)"
Conv_234_quant,1323_QuantizeInput,"(1, 2048, 28, 28)"
1323_Conv_234_QuantizeLinear,1323_quantized,"(1, 2048, 28, 28)"
1323_Conv_234_DequantizeLinear,1323,"(1, 2048, 28, 28)"
Add_235,977,"(1, 2048, 28, 28)"
Relu_236,978,"(1, 2048, 28, 28)"
978_Conv_237_QuantizeLinear,978_Conv_237_QuantizeLinear,"(1, 2048, 28, 28)"
978_Conv_237_DequantizeLinear,978_Conv_237_dequantized,"(1, 2048, 28, 28)"
Conv_237_quant,1326_QuantizeInput,"(1, 512, 28, 28)"
1326_Conv_237_QuantizeLinear,1326_quantized,"(1, 512, 28, 28)"
1326_Conv_239_DequantizeLinear,1326_Conv_239_dequantized,"(1, 512, 28, 28)"
Conv_239_quant,1329_QuantizeInput,"(1, 512, 28, 28)"
1329_Conv_239_QuantizeLinear,1329_quantized,"(1, 512, 28, 28)"
1329_Conv_241_DequantizeLinear,1329_Conv_241_dequantized,"(1, 512, 28, 28)"
Conv_241_quant,1332_QuantizeInput,"(1, 2048, 28, 28)"
1332_Conv_241_QuantizeLinear,1332_quantized,"(1, 2048, 28, 28)"
1332_Conv_241_DequantizeLinear,1332,"(1, 2048, 28, 28)"
Add_242,987,"(1, 2048, 28, 28)"
Relu_243,988,"(1, 2048, 28, 28)"
988_Conv_244_QuantizeLinear,988_Conv_244_QuantizeLinear,"(1, 2048, 28, 28)"
988_Conv_244_DequantizeLinear,988_Conv_244_dequantized,"(1, 2048, 28, 28)"
Conv_244_quant,1335_QuantizeInput,"(1, 512, 28, 28)"
1335_Conv_244_QuantizeLinear,1335_quantized,"(1, 512, 28, 28)"
1335_Conv_246_DequantizeLinear,1335_Conv_246_dequantized,"(1, 512, 28, 28)"
Conv_246_quant,992_QuantizeInput,"(1, 21, 28, 28)"
992_Conv_246_QuantizeLinear,992_quantized,"(1, 21, 28, 28)"
992_Conv_246_DequantizeLinear,992,"(1, 21, 28, 28)"
Shape_251,997,"(4,)"
Slice_255,1001,"(2,)"
Concat_257,1003,"(4,)"
Resize_259_quant,out_QuantizeInput,"(1, 21, 224, 224)"
out_Resize_259_QuantizeLinear,out_quantized,"(1, 21, 224, 224)"
out_Resize_259_DequantizeLinear,out,"(1, 21, 224, 224)"
